Data;Ano;Mes;Product;Region;Retailer;Sales Method;State;Price per Unit;Total Sales;Units Sold
mar/20;2020;3;Roupa Feminina;Nordeste;Foot Locker;Outlet;New York;65;7150;110
mar/20;2020;3;Calçado de Rua Masculino;Nordeste;Foot Locker;Outlet;New York;60;7500;125
mar/20;2020;3;Calçado Atlético Masculino;Nordeste;Foot Locker;Outlet;New York;55;5665;103
mar/20;2020;3;Calçado de Rua Feminino;Nordeste;Foot Locker;Outlet;New York;50;4750;95
mar/20;2020;3;Calçado Atlético Feminino;Nordeste;Foot Locker;Outlet;New York;50;4650;93
abr/20;2020;4;Roupa Masculino;Nordeste;Walmart;Outlet;New York;60;5400;90
abr/20;2020;4;Roupa Feminina;Nordeste;Walmart;Outlet;New York;65;7020;108
abr/20;2020;4;Calçado de Rua Masculino;Nordeste;Walmart;Outlet;New York;60;7200;120
abr/20;2020;4;Calçado Atlético Masculino;Nordeste;Walmart;Outlet;New York;55;5500;100
abr/20;2020;4;Calçado de Rua Feminino;Nordeste;Walmart;Outlet;New York;50;4650;93
abr/20;2020;4;Calçado Atlético Feminino;Nordeste;Walmart;Outlet;New York;50;4500;90
abr/20;2020;4;Roupa Masculino;Nordeste;Walmart;Outlet;New York;60;5400;90
abr/20;2020;4;Roupa Feminina;Nordeste;Walmart;Outlet;New York;65;6500;100
abr/20;2020;4;Roupa Masculino;Nordeste;Walmart;Outlet;New York;65;5720;88
abr/20;2020;4;Roupa Feminina;Nordeste;Walmart;Outlet;New York;70;7000;100
abr/20;2020;4;Calçado de Rua Masculino;Nordeste;Walmart;Outlet;New York;65;7475;115
abr/20;2020;4;Calçado Atlético Masculino;Nordeste;Walmart;Outlet;New York;55;5390;98
abr/20;2020;4;Calçado de Rua Feminino;Nordeste;Walmart;Outlet;New York;55;5060;92
abr/20;2020;4;Calçado Atlético Feminino;Nordeste;Walmart;Outlet;New York;55;4950;90
mai/20;2020;5;Roupa Masculino;Nordeste;Walmart;Outlet;New York;65;5720;88
mai/20;2020;5;Roupa Feminina;Nordeste;Walmart;Outlet;New York;70;6860;98
mai/20;2020;5;Calçado de Rua Masculino;Nordeste;Walmart;Outlet;New York;65;7800;120
mai/20;2020;5;Calçado Atlético Masculino;Nordeste;Walmart;Outlet;New York;55;5500;100
mai/20;2020;5;Calçado de Rua Feminino;Nordeste;Walmart;Outlet;New York;55;5225;95
mai/20;2020;5;Calçado Atlético Feminino;Nordeste;Walmart;Outlet;New York;55;4950;90
mai/20;2020;5;Roupa Masculino;Nordeste;Walmart;Outlet;New York;65;5850;90
jul/20;2020;7;Roupa Feminina;Nordeste;Walmart;Outlet;New York;70;7000;100
jul/20;2020;7;Calçado de Rua Masculino;Nordeste;Sports Direct;Outlet;New York;25;2250;90
jul/20;2020;7;Calçado Atlético Masculino;Nordeste;Sports Direct;Outlet;New York;35;3150;90
jul/20;2020;7;Calçado de Rua Feminino;Nordeste;Sports Direct;Outlet;New York;35;2450;70
jul/20;2020;7;Calçado Atlético Feminino;Nordeste;Sports Direct;Outlet;New York;35;2450;70
jul/20;2020;7;Roupa Masculino;Sul;Sports Direct;Outlet;Texas;40;2200;55
jul/20;2020;7;Roupa Feminina;Sul;Sports Direct;Outlet;Texas;35;2450;70
jul/20;2020;7;Calçado de Rua Masculino;Sul;Sports Direct;Outlet;Texas;25;2125;85
jul/20;2020;7;Calçado Atlético Masculino;Sul;Sports Direct;Outlet;Texas;35;2975;85
jul/20;2020;7;Calçado de Rua Feminino;Sul;Sports Direct;Outlet;Texas;35;2380;68
jul/20;2020;7;Calçado Atlético Feminino;Sul;Sports Direct;Outlet;Texas;35;2205;63
jul/20;2020;7;Roupa Masculino;Sul;Sports Direct;Outlet;Texas;40;2000;50
jul/20;2020;7;Roupa Feminina;Sul;Sports Direct;Outlet;Texas;35;2450;70
jul/20;2020;7;Calçado de Rua Masculino;Sul;Sports Direct;Outlet;Texas;30;2640;88
ago/20;2020;8;Calçado Atlético Masculino;Sul;Sports Direct;Outlet;Texas;40;3520;88
ago/20;2020;8;Calçado de Rua Feminino;Sul;Sports Direct;Outlet;Texas;35;2450;70
ago/20;2020;8;Calçado Atlético Feminino;Sul;Sports Direct;Outlet;Texas;40;2400;60
ago/20;2020;8;Roupa Masculino;Sul;Sports Direct;Outlet;Texas;45;2250;50
ago/20;2020;8;Roupa Feminina;Sul;Sports Direct;Outlet;Texas;40;2600;65
ago/20;2020;8;Calçado de Rua Masculino;Sul;Sports Direct;Outlet;Texas;30;2700;90
ago/20;2020;8;Calçado Atlético Masculino;Sul;Sports Direct;Outlet;Texas;40;3600;90
ago/20;2020;8;Calçado de Rua Feminino;Sul;Sports Direct;Outlet;Texas;35;2555;73
ago/20;2020;8;Calçado Atlético Feminino;Sul;Sports Direct;Outlet;Texas;40;2520;63
ago/20;2020;8;Roupa Masculino;Sul;Walmart;Outlet;Texas;45;2385;53
ago/20;2020;8;Roupa Feminina;Sul;Walmart;Outlet;Texas;40;3200;80
ago/20;2020;8;Calçado de Rua Masculino;Sul;Walmart;Outlet;Texas;30;2790;93
ago/20;2020;8;Calçado Atlético Masculino;Sul;Walmart;Outlet;Texas;40;3720;93
ago/20;2020;8;Calçado de Rua Feminino;Sul;Walmart;Outlet;Texas;35;2730;78
ago/20;2020;8;Calçado Atlético Feminino;Sul;Walmart;Outlet;Texas;40;2800;70
ago/20;2020;8;Roupa Masculino;Sul;Walmart;Outlet;Texas;45;2700;60
ago/20;2020;8;Roupa Feminina;Sul;Walmart;Outlet;Texas;40;3800;95
ago/20;2020;8;Calçado de Rua Masculino;Sul;Walmart;Outlet;Texas;40;3800;95
ago/20;2020;8;Calçado Atlético Masculino;Sul;Walmart;Outlet;Texas;45;4275;95
ago/20;2020;8;Calçado de Rua Feminino;Sul;Walmart;Outlet;Texas;40;3200;80
ago/20;2020;8;Calçado Atlético Feminino;Sul;Walmart;Outlet;Texas;40;3000;75
ago/20;2020;8;Roupa Masculino;Sul;Walmart;Outlet;Texas;45;2925;65
ago/20;2020;8;Roupa Feminina;Sul;Walmart;Outlet;Texas;50;5000;100
ago/20;2020;8;Calçado de Rua Masculino;Sul;Walmart;Outlet;Texas;40;3800;95
ago/20;2020;8;Calçado Atlético Masculino;Sul;Walmart;Outlet;Texas;45;4275;95
ago/20;2020;8;Calçado de Rua Feminino;Sul;Walmart;Outlet;Texas;40;4400;110
ago/20;2020;8;Calçado Atlético Feminino;Sul;Walmart;Outlet;Texas;40;2800;70
ago/20;2020;8;Roupa Masculino;Sul;Walmart;Outlet;Texas;45;3150;70
ago/20;2020;8;Roupa Feminina;Sul;Walmart;Outlet;Texas;50;4900;98
ago/20;2020;8;Calçado de Rua Masculino;Sul;Walmart;Outlet;Texas;40;3720;93
ago/20;2020;8;Calçado Atlético Masculino;Sul;Walmart;Outlet;Texas;45;4185;93
set/20;2020;9;Calçado de Rua Feminino;Sul;Walmart;Outlet;Texas;40;4400;110
set/20;2020;9;Calçado Atlético Feminino;Sul;Walmart;Outlet;Texas;40;2600;65
set/20;2020;9;Roupa Masculino;Sul;Walmart;Outlet;Texas;45;2925;65
set/20;2020;9;Roupa Feminina;Sul;Walmart;Outlet;Texas;50;4500;90
set/20;2020;9;Calçado de Rua Masculino;Sul;Walmart;Outlet;Texas;45;3825;85
set/20;2020;9;Calçado Atlético Masculino;Sul;Walmart;Outlet;Texas;45;3825;85
set/20;2020;9;Calçado de Rua Feminino;Sul;Walmart;Outlet;Texas;50;4500;90
set/20;2020;9;Calçado Atlético Feminino;Sul;Walmart;Outlet;Texas;50;3150;63
set/20;2020;9;Roupa Masculino;Sul;Walmart;Outlet;Texas;45;2835;63
set/20;2020;9;Roupa Feminina;Sul;Walmart;Outlet;Texas;55;4675;85
set/20;2020;9;Calçado de Rua Masculino;Sul;Walmart;Outlet;Texas;45;3600;80
set/20;2020;9;Calçado Atlético Masculino;Sul;Walmart;Outlet;Texas;45;3600;80
set/20;2020;9;Calçado de Rua Feminino;Sul;Walmart;Outlet;Texas;50;3750;75
set/20;2020;9;Calçado Atlético Feminino;Sul;Walmart;Outlet;Texas;50;3000;60
set/20;2020;9;Roupa Masculino;Sul;Walmart;Outlet;Texas;45;2610;58
set/20;2020;9;Roupa Feminina;Sul;Walmart;Outlet;Texas;55;4125;75
out/20;2020;10;Calçado de Rua Masculino;Sul;Walmart;Outlet;Texas;45;4050;90
out/20;2020;10;Calçado Atlético Masculino;Sul;Walmart;Outlet;Texas;45;4050;90
out/20;2020;10;Calçado de Rua Feminino;Sul;Walmart;Outlet;Texas;50;4150;83
out/20;2020;10;Calçado Atlético Feminino;Sul;Walmart;Outlet;Texas;50;3400;68
out/20;2020;10;Roupa Masculino;Sul;Walmart;Outlet;Texas;45;2925;65
out/20;2020;10;Roupa Feminina;Sul;Walmart;Outlet;Texas;55;4675;85
out/20;2020;10;Calçado de Rua Masculino;Sul;Walmart;Outlet;Texas;45;4275;95
out/20;2020;10;Calçado Atlético Masculino;Sul;Walmart;Outlet;Texas;45;4275;95
out/20;2020;10;Calçado de Rua Feminino;Sul;Walmart;Outlet;Texas;50;4250;85
out/20;2020;10;Calçado Atlético Feminino;Sul;Walmart;Outlet;Texas;50;3500;70
out/20;2020;10;Roupa Masculino;Sul;Walmart;Outlet;Texas;45;2925;65
out/20;2020;10;Roupa Feminina;Sul;Walmart;Outlet;Texas;55;4950;90
nov/20;2020;11;Calçado de Rua Masculino;Sul;West Gear;Outlet;Texas;40;3120;78
nov/20;2020;11;Calçado Atlético Masculino;Sul;West Gear;Outlet;Texas;50;3900;78
nov/20;2020;11;Calçado de Rua Feminino;Sul;West Gear;Outlet;Texas;50;3900;78
nov/20;2020;11;Calçado Atlético Feminino;Sul;West Gear;Outlet;Texas;50;3150;63
nov/20;2020;11;Roupa Masculino;Oeste;West Gear;Outlet;California;55;3190;58
nov/20;2020;11;Roupa Feminina;Oeste;West Gear;Outlet;California;50;3900;78
nov/20;2020;11;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;40;3320;83
nov/20;2020;11;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;50;3650;73
nov/20;2020;11;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;50;3650;73
nov/20;2020;11;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;50;2900;58
nov/20;2020;11;Roupa Masculino;Oeste;West Gear;Outlet;California;55;2750;50
nov/20;2020;11;Roupa Feminina;Oeste;West Gear;Outlet;California;50;3500;70
nov/20;2020;11;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;50;4250;85
nov/20;2020;11;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;60;4200;70
nov/20;2020;11;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;60;4200;70
dez/20;2020;12;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;60;3600;60
dez/20;2020;12;Roupa Masculino;Oeste;West Gear;Outlet;California;65;3250;50
dez/20;2020;12;Roupa Feminina;Oeste;West Gear;Outlet;California;60;4200;70
dez/20;2020;12;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;60;5280;88
dez/20;2020;12;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;65;4420;68
dez/20;2020;12;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;65;4745;73
dez/20;2020;12;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;60;3780;63
dez/20;2020;12;Roupa Masculino;Oeste;West Gear;Outlet;California;65;3445;53
dez/20;2020;12;Roupa Feminina;Oeste;West Gear;Outlet;California;80;5600;70
dez/20;2020;12;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;60;5400;90
jan/21;2021;1;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;65;4875;75
jan/21;2021;1;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;65;4875;75
jan/21;2021;1;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;60;3900;65
jan/21;2021;1;Roupa Masculino;Oeste;West Gear;Outlet;California;65;3575;55
jan/21;2021;1;Roupa Feminina;Oeste;West Gear;Outlet;California;80;5840;73
jan/21;2021;1;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;60;5880;98
jan/21;2021;1;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;65;5395;83
jan/21;2021;1;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;65;5395;83
jan/21;2021;1;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;60;4200;70
jan/21;2021;1;Roupa Masculino;Oeste;West Gear;Outlet;California;65;3770;58
jan/21;2021;1;Roupa Feminina;Oeste;West Gear;Outlet;California;80;7040;88
jan/21;2021;1;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;60;6180;103
jan/21;2021;1;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;65;5720;88
jan/21;2021;1;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;65;5395;83
jan/21;2021;1;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;60;4380;73
jan/21;2021;1;Roupa Masculino;Oeste;West Gear;Outlet;California;65;5070;78
jan/21;2021;1;Roupa Feminina;Oeste;West Gear;Outlet;California;80;6240;78
jan/21;2021;1;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;65;6370;98
jan/21;2021;1;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;70;6510;93
jan/21;2021;1;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;65;5200;80
jan/21;2021;1;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;65;4875;75
jan/21;2021;1;Roupa Masculino;Oeste;West Gear;Outlet;California;75;5625;75
jan/21;2021;1;Roupa Feminina;Oeste;West Gear;Outlet;California;80;5840;73
jan/21;2021;1;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;55;5115;93
jan/21;2021;1;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;60;5580;93
jan/21;2021;1;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;55;4290;78
jan/21;2021;1;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;55;4015;73
jan/21;2021;1;Roupa Masculino;Oeste;West Gear;Outlet;California;65;4745;73
jan/21;2021;1;Roupa Feminina;Oeste;West Gear;Outlet;California;70;5460;78
jan/21;2021;1;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;55;4840;88
jan/21;2021;1;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;60;5280;88
fev/21;2021;2;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;55;3850;70
fev/21;2021;2;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;55;3740;68
fev/21;2021;2;Roupa Masculino;Oeste;West Gear;Outlet;California;65;4225;65
fev/21;2021;2;Roupa Feminina;Oeste;West Gear;Outlet;California;70;4900;70
fev/21;2021;2;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;55;4840;88
fev/21;2021;2;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;60;5280;88
fev/21;2021;2;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;55;4015;73
fev/21;2021;2;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;55;3850;70
fev/21;2021;2;Roupa Masculino;Oeste;West Gear;Outlet;California;65;4225;65
fev/21;2021;2;Roupa Feminina;Oeste;West Gear;Outlet;California;70;5460;78
fev/21;2021;2;Calçado de Rua Masculino;Oeste;West Gear;Outlet;California;55;5390;98
fev/21;2021;2;Calçado Atlético Masculino;Oeste;West Gear;Outlet;California;60;5880;98
fev/21;2021;2;Calçado de Rua Feminino;Oeste;West Gear;Outlet;California;55;4290;78
fev/21;2021;2;Calçado Atlético Feminino;Oeste;West Gear;Outlet;California;55;4290;78
fev/21;2021;2;Roupa Masculino;Oeste;West Gear;Outlet;California;65;4550;70
fev/21;2021;2;Roupa Feminina;Oeste;West Gear;Outlet;California;70;5600;80
fev/21;2021;2;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;35;2450;70
fev/21;2021;2;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;45;3150;70
mar/21;2021;3;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;45;3150;70
mar/21;2021;3;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;45;2475;55
mar/21;2021;3;Roupa Masculino;Oeste;Kohl's;Outlet;California;50;2500;50
mar/21;2021;3;Roupa Feminina;Oeste;Kohl's;Outlet;California;45;3150;70
mar/21;2021;3;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;35;2625;75
mar/21;2021;3;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;45;2925;65
mar/21;2021;3;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;45;3060;68
mar/21;2021;3;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;45;2385;53
mar/21;2021;3;Roupa Masculino;Oeste;Kohl's;Outlet;California;50;2250;45
mar/21;2021;3;Roupa Feminina;Oeste;Kohl's;Outlet;California;45;2925;65
mar/21;2021;3;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;35;2800;80
mar/21;2021;3;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;45;2925;65
mar/21;2021;3;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;45;2925;65
mar/21;2021;3;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;45;2475;55
mar/21;2021;3;Roupa Masculino;Oeste;Kohl's;Outlet;California;50;2150;43
abr/21;2021;4;Roupa Feminina;Oeste;Kohl's;Outlet;California;45;2835;63
abr/21;2021;4;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;45;3600;80
abr/21;2021;4;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;50;3000;60
abr/21;2021;4;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;50;3150;63
abr/21;2021;4;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;45;2385;53
abr/21;2021;4;Roupa Masculino;Oeste;Kohl's;Outlet;California;50;2150;43
abr/21;2021;4;Roupa Feminina;Oeste;Kohl's;Outlet;California;65;3900;60
abr/21;2021;4;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;45;3600;80
abr/21;2021;4;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;50;3250;65
abr/21;2021;4;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;50;3250;65
abr/21;2021;4;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;45;2475;55
abr/21;2021;4;Roupa Masculino;Oeste;Kohl's;Outlet;California;50;2250;45
abr/21;2021;4;Roupa Feminina;Oeste;Kohl's;Outlet;California;65;4095;63
abr/21;2021;4;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;45;4050;90
abr/21;2021;4;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;50;3750;75
abr/21;2021;4;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;50;3750;75
abr/21;2021;4;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;45;2835;63
abr/21;2021;4;Roupa Masculino;Oeste;Kohl's;Outlet;California;50;2500;50
abr/21;2021;4;Roupa Feminina;Oeste;Kohl's;Outlet;California;65;5200;80
abr/21;2021;4;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;45;4275;95
abr/21;2021;4;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;50;4000;80
abr/21;2021;4;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;50;3750;75
abr/21;2021;4;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;45;2925;65
abr/21;2021;4;Roupa Masculino;Oeste;Kohl's;Outlet;California;50;3500;70
abr/21;2021;4;Roupa Feminina;Oeste;Kohl's;Outlet;California;65;4550;70
mai/21;2021;5;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;50;4500;90
mai/21;2021;5;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;55;4675;85
mai/21;2021;5;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;50;3650;73
mai/21;2021;5;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;50;3400;68
mai/21;2021;5;Roupa Masculino;Oeste;Kohl's;Outlet;California;60;4080;68
mai/21;2021;5;Roupa Feminina;Oeste;Kohl's;Outlet;California;65;4225;65
mai/21;2021;5;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;50;4250;85
mai/21;2021;5;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;55;4675;85
mai/21;2021;5;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;50;3500;70
mai/21;2021;5;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;50;3250;65
mai/21;2021;5;Roupa Masculino;Oeste;Kohl's;Outlet;California;60;3900;65
mai/21;2021;5;Roupa Feminina;Oeste;Kohl's;Outlet;California;65;4550;70
mai/21;2021;5;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;50;4000;80
mai/21;2021;5;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;55;4400;80
mai/21;2021;5;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;50;3250;65
mai/21;2021;5;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;50;3150;63
mai/21;2021;5;Roupa Masculino;Oeste;Kohl's;Outlet;California;60;3600;60
mai/21;2021;5;Roupa Feminina;Oeste;Kohl's;Outlet;California;65;4225;65
mai/21;2021;5;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;50;4150;83
mai/21;2021;5;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;55;4565;83
mai/21;2021;5;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;50;3400;68
mai/21;2021;5;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;50;3250;65
mai/21;2021;5;Roupa Masculino;Oeste;Kohl's;Outlet;California;60;3600;60
mai/21;2021;5;Roupa Feminina;Oeste;Kohl's;Outlet;California;65;4550;70
mai/21;2021;5;Calçado de Rua Masculino;Oeste;Kohl's;Outlet;California;50;4500;90
mai/21;2021;5;Calçado Atlético Masculino;Oeste;Kohl's;Outlet;California;55;4950;90
mai/21;2021;5;Calçado de Rua Feminino;Oeste;Kohl's;Outlet;California;50;3500;70
mai/21;2021;5;Calçado Atlético Feminino;Oeste;Kohl's;Outlet;California;50;3500;70
mai/21;2021;5;Roupa Masculino;Oeste;Kohl's;Outlet;California;60;3780;63
mai/21;2021;5;Roupa Feminina;Oeste;Kohl's;Outlet;California;65;4745;73
mai/21;2021;5;Calçado de Rua Masculino;Oeste;Foot Locker;Outlet;California;45;2160;48
jun/21;2021;6;Calçado Atlético Masculino;Oeste;Foot Locker;Outlet;California;45;1260;28
jun/21;2021;6;Calçado de Rua Feminino;Oeste;Foot Locker;Outlet;California;35;980;28
jun/21;2021;6;Calçado Atlético Feminino;Oeste;Foot Locker;Outlet;California;40;520;13
jun/21;2021;6;Roupa Masculino;Centro-Oeste;Foot Locker;Outlet;Illinois;55;990;18
jun/21;2021;6;Roupa Feminina;Centro-Oeste;Foot Locker;Outlet;Illinois;45;1260;28
jun/21;2021;6;Calçado de Rua Masculino;Centro-Oeste;Foot Locker;Outlet;Illinois;45;2385;53
jun/21;2021;6;Calçado Atlético Masculino;Centro-Oeste;Foot Locker;Outlet;Illinois;45;810;18
jun/21;2021;6;Calçado de Rua Feminino;Centro-Oeste;Foot Locker;Outlet;Illinois;35;805;23
jun/21;2021;6;Calçado Atlético Feminino;Centro-Oeste;Foot Locker;Outlet;Illinois;40;400;10
